"","x"
"1","0"
"2","1"
"3","1"
"4","1"
"5","0"
"6",NA
"7","0"
"8","0"
"9","1"
"10","1"
"11","1"
"12","1"
"13","0"
"14","0"
"15","1"
"16","1"
"17","0"
"18",NA
"19","1"
"20",NA
"21","0"
"22","0"
"23","1"
"24","0"
"25","0"
"26","0"
"27",NA
"28","0"
"29",NA
"30",NA
"31","0"
"32",NA
"33",NA
"34","0"
"35","0"
"36","0"
"37",NA
"38","0"
"39","0"
"40","1"
"41","0"
"42","1"
"43",NA
"44","1"
"45","1"
"46",NA
"47",NA
"48",NA
"49",NA
"50","0"
"51","0"
"52","0"
"53","1"
"54","1"
"55","0"
"56",NA
"57","1"
"58","0"
"59","1"
"60","0"
"61","0"
"62","1"
"63","0"
"64","0"
"65",NA
"66",NA
"67","1"
"68","0"
"69","0"
"70","0"
"71","0"
"72","0"
"73","0"
"74","0"
"75","0"
"76","0"
"77",NA
"78",NA
"79","1"
"80","1"
"81","0"
"82","0"
"83",NA
"84","0"
"85","1"
"86","1"
"87","0"
"88",NA
"89","1"
"90","0"
"91","0"
"92","0"
"93","0"
"94","0"
"95","0"
"96",NA
"97","0"
"98","0"
"99","1"
"100","0"
"101","1"
"102",NA
"103","0"
"104","0"
"105","0"
"106","0"
"107","1"
"108",NA
"109","0"
"110",NA
"111","0"
"112","1"
"113","0"
"114","0"
"115","1"
"116","0"
"117","0"
"118","0"
"119","0"
"120","0"
"121","0"
"122",NA
"123","0"
"124","1"
"125","0"
"126","0"
"127",NA
"128","0"
"129",NA
"130","0"
"131","0"
"132","0"
"133","0"
"134","1"
"135","0"
"136","0"
"137","1"
"138","0"
"139","0"
"140","0"
"141",NA
"142","1"
"143","1"
"144","0"
"145","0"
"146","0"
"147","0"
"148","0"
"149","0"
"150","0"
"151","0"
"152","1"
"153","0"
"154","0"
"155",NA
"156","0"
"157","1"
"158","0"
"159",NA
"160",NA
"161","0"
"162","1"
"163","0"
"164","0"
"165","0"
"166","1"
"167",NA
"168","0"
"169",NA
"170","0"
"171","0"
"172","0"
"173","1"
"174","0"
"175","0"
"176","0"
"177",NA
"178","1"
"179","0"
"180","0"
"181",NA
"182",NA
"183","0"
"184","1"
"185","1"
"186",NA
"187",NA
"188","0"
"189","0"
"190","0"
"191","1"
"192","0"
"193","1"
"194","1"
"195","1"
"196","1"
"197",NA
"198","0"
"199",NA
"200","1"
"201","0"
"202",NA
"203","0"
"204","0"
"205","0"
"206","1"
"207","0"
"208","0"
"209","1"
"210","0"
"211","0"
"212","1"
"213","0"
"214","0"
"215",NA
"216","1"
"217","1"
"218","0"
"219","1"
"220","0"
"221","0"
"222","0"
"223","0"
"224",NA
"225","0"
"226","0"
"227","0"
"228","0"
"229","0"
"230",NA
"231","1"
"232","0"
"233","0"
"234","0"
"235","0"
"236",NA
"237","0"
"238","1"
"239","0"
"240","0"
"241",NA
"242",NA
"243","0"
"244","0"
"245","0"
"246","0"
"247","1"
"248","1"
"249","0"
"250","0"
"251",NA
"252","0"
"253","0"
"254","0"
"255","0"
"256","1"
"257",NA
"258","1"
"259","1"
"260","1"
"261",NA
"262","0"
"263","0"
"264","0"
"265",NA
"266","0"
"267","0"
"268","0"
"269","1"
"270","1"
"271",NA
"272","0"
"273","1"
"274","0"
"275",NA
"276","1"
"277","0"
"278",NA
"279","0"
