"","PassengerID","Survived"
"2",2,1
"3",3,1
"4",4,1
"9",9,1
"10",10,1
"11",11,1
"12",12,1
"15",15,0
"16",16,1
"19",19,0
"20",20,0
"23",23,1
"25",25,0
"26",26,0
"29",29,0
"32",32,0
"33",33,0
"39",39,0
"40",40,1
"41",41,0
"42",42,1
"44",44,1
"45",45,1
"48",48,0
"50",50,0
"53",53,1
"54",54,1
"57",57,1
"59",59,1
"62",62,1
"67",67,1
"69",69,1
"72",72,0
"80",80,1
"83",83,0
"85",85,1
"86",86,1
"89",89,1
"99",99,1
"101",101,0
"107",107,1
"110",110,0
"112",112,0
"114",114,0
"115",115,0
"120",120,0
"124",124,1
"129",129,0
"133",133,0
"134",134,1
"137",137,1
"141",141,0
"142",142,1
"143",143,1
"148",148,0
"152",152,1
"157",157,1
"162",162,1
"167",167,0
"168",168,0
"173",173,1
"178",178,0
"181",181,0
"185",185,1
"187",187,0
"191",191,1
"193",193,1
"195",195,1
"196",196,1
"199",199,0
"200",200,1
"206",206,0
"209",209,1
"212",212,1
"216",216,1
"217",217,1
"219",219,1
"230",230,0
"231",231,1
"234",234,1
"236",236,0
"238",238,1
"241",241,0
"242",242,0
"247",247,0
"248",248,1
"252",252,0
"255",255,0
"256",256,0
"257",257,0
"258",258,1
"259",259,1
"260",260,1
"265",265,0
"269",269,1
"270",270,1
"273",273,1
"275",275,0
"276",276,1
"277",277,0
"280",280,1
"290",290,1
"291",291,1
"292",292,1
"294",294,0
"298",298,0
"300",300,1
"301",301,0
"304",304,0
"307",307,0
"308",308,1
"310",310,1
"311",311,1
"312",312,1
"313",313,1
"316",316,1
"317",317,1
"319",319,1
"320",320,1
"323",323,1
"324",324,1
"326",326,1
"328",328,1
"329",329,1
"330",330,1
"331",331,0
"335",335,0
"338",338,1
"342",342,1
"346",346,1
"347",347,1
"348",348,0
"357",357,1
"358",358,1
"359",359,0
"360",360,0
"363",363,0
"367",367,1
"368",368,0
"369",369,0
"370",370,1
"375",375,0
"376",376,0
"377",377,1
"381",381,1
"382",382,1
"384",384,1
"388",388,1
"390",390,1
"394",394,1
"395",395,1
"397",397,0
"400",400,1
"403",403,0
"405",405,0
"410",410,0
"413",413,1
"416",416,0
"417",417,1
"418",418,1
"420",420,0
"424",424,0
"427",427,1
"428",428,1
"432",432,0
"433",433,1
"436",436,1
"437",437,0
"438",438,1
"441",441,1
"444",444,1
"447",447,1
"449",449,1
"458",458,0
"459",459,1
"470",470,1
"473",473,1
"474",474,1
"475",475,0
"480",480,1
"484",484,0
"486",486,0
"487",487,1
"497",497,1
"499",499,1
"502",502,1
"503",503,0
"504",504,0
"505",505,1
"507",507,1
"514",514,1
"517",517,1
"519",519,1
"521",521,1
"524",524,1
"527",527,1
"531",531,1
"534",534,0
"535",535,0
"536",536,1
"538",538,1
"540",540,1
"541",541,1
"542",542,0
"543",543,0
"547",547,1
"555",555,1
"557",557,1
"559",559,1
"560",560,1
"565",565,0
"568",568,0
"572",572,1
"574",574,0
"577",577,1
"578",578,1
"579",579,0
"581",581,1
"582",582,1
"586",586,1
"592",592,1
"594",594,0
"597",597,0
"601",601,1
"609",609,1
"610",610,1
"611",611,0
"613",613,0
"616",616,1
"618",618,0
"619",619,1
"628",628,1
"635",635,0
"636",636,1
"639",639,0
"642",642,1
"643",643,0
"645",645,1
"650",650,1
"652",652,1
"654",654,0
"655",655,0
"658",658,0
"670",670,0
"671",671,1
"678",678,1
"679",679,0
"681",681,0
"690",690,1
"692",692,1
"698",698,0
"701",701,1
"703",703,0
"707",707,1
"709",709,1
"711",711,1
"717",717,1
"718",718,1
"721",721,1
"727",727,1
"728",728,0
"730",730,0
"731",731,1
"737",737,0
"743",743,1
"748",748,1
"751",751,1
"755",755,1
"760",760,1
"764",764,1
"766",766,1
"768",768,0
"773",773,0
"775",775,1
"778",778,1
"780",780,1
"781",781,1
"782",782,1
"787",787,1
"793",793,0
"797",797,1
"798",798,0
"800",800,0
"802",802,1
"808",808,0
"810",810,1
"814",814,0
"817",817,0
"821",821,1
"824",824,1
"830",830,1
"831",831,0
"836",836,1
"843",843,1
"850",850,0
"853",853,0
"854",854,1
"855",855,1
"856",856,1
"857",857,1
"859",859,1
"863",863,1
"864",864,0
"866",866,1
"867",867,1
"872",872,1
"875",875,1
"876",876,1
"880",880,1
"881",881,1
"883",883,0
"886",886,0
"888",888,1
"889",889,0
"893",893,0
"896",896,0
"898",898,0
"900",900,1
"904",904,1
"906",906,1
"907",907,1
"910",910,1
"911",911,0
"914",914,0
"916",916,1
"918",918,1
"924",924,1
"925",925,0
"928",928,0
"929",929,0
"935",935,1
"936",936,1
"940",940,1
"941",941,1
"944",944,1
"945",945,1
"951",951,1
"955",955,1
"957",957,0
"958",958,1
"961",961,1
"962",962,1
"964",964,0
"966",966,1
"969",969,1
"971",971,1
"978",978,1
"979",979,1
"980",980,0
"982",982,0
"984",984,1
"988",988,1
"990",990,0
"992",992,1
"996",996,1
"1003",1003,0
"1004",1004,1
"1005",1005,1
"1006",1006,1
"1009",1009,1
"1011",1011,1
"1012",1012,1
"1014",1014,1
"1017",1017,0
"1019",1019,0
"1024",1024,0
"1030",1030,0
"1032",1032,0
"1033",1033,1
"1042",1042,1
"1045",1045,1
"1048",1048,1
"1049",1049,0
"1051",1051,1
"1052",1052,0
"1054",1054,1
"1057",1057,0
"1060",1060,0
"1061",1061,0
"1067",1067,1
"1068",1068,1
"1070",1070,1
"1071",1071,1
"1074",1074,1
"1076",1076,1
"1078",1078,1
"1080",1080,0
"1089",1089,0
"1091",1091,0
"1092",1092,0
"1095",1095,1
"1098",1098,0
"1100",1100,1
"1105",1105,1
"1106",1106,0
"1108",1108,0
"1110",1110,1
"1112",1112,1
"1114",1114,1
"1116",1116,1
"1117",1117,0
"1119",1119,0
"1123",1123,1
"1130",1130,1
"1131",1131,1
"1132",1132,1
"1133",1133,1
"1138",1138,1
"1140",1140,1
"1141",1141,0
"1142",1142,1
"1150",1150,1
"1154",1154,1
"1155",1155,1
"1160",1160,0
"1164",1164,1
"1165",1165,0
"1167",1167,1
"1172",1172,0
"1174",1174,0
"1175",1175,0
"1176",1176,1
"1183",1183,0
"1188",1188,1
"1196",1196,0
"1197",1197,1
"1201",1201,0
"1205",1205,0
"1206",1206,1
"1207",1207,1
"1216",1216,1
"1218",1218,1
"1222",1222,1
"1225",1225,0
"1235",1235,1
"1237",1237,1
"1239",1239,0
"1241",1241,1
"1242",1242,1
"1246",1246,1
"1248",1248,1
"1251",1251,0
"1253",1253,1
"1254",1254,1
"1256",1256,1
"1257",1257,0
"1259",1259,0
"1260",1260,1
"1263",1263,1
"1266",1266,1
"1267",1267,1
"1268",1268,0
"1274",1274,0
"1275",1275,0
"1277",1277,1
"1283",1283,1
"1287",1287,1
"1289",1289,1
"1292",1292,1
"1294",1294,1
"1300",1300,0
"1301",1301,1
"1302",1302,0
"1303",1303,1
"1304",1304,0
"1306",1306,1
"1",1,0
"5",5,0
"6",6,0
"7",7,0
"8",8,0
"13",13,0
"14",14,0
"17",17,0
"18",18,0
"21",21,0
"22",22,0
"24",24,0
"27",27,0
"28",28,0
"30",30,0
"31",31,0
"34",34,0
"35",35,0
"36",36,0
"37",37,0
"38",38,0
"43",43,0
"46",46,0
"47",47,0
"49",49,0
"51",51,0
"52",52,0
"55",55,0
"56",56,0
"58",58,0
"60",60,0
"61",61,0
"63",63,0
"64",64,0
"65",65,0
"66",66,0
"68",68,0
"70",70,0
"71",71,0
"73",73,0
"74",74,0
"75",75,1
"76",76,0
"77",77,0
"78",78,0
"79",79,1
"81",81,0
"82",82,0
"84",84,0
"87",87,0
"88",88,0
"90",90,0
"91",91,0
"92",92,0
"93",93,0
"94",94,0
"95",95,0
"96",96,0
"97",97,0
"98",98,0
"100",100,0
"102",102,0
"103",103,0
"104",104,0
"105",105,0
"106",106,0
"108",108,0
"109",109,0
"111",111,0
"113",113,0
"116",116,0
"117",117,0
"118",118,0
"119",119,0
"121",121,0
"122",122,0
"123",123,0
"125",125,0
"126",126,1
"127",127,0
"128",128,0
"130",130,0
"131",131,0
"132",132,0
"135",135,0
"136",136,0
"138",138,0
"139",139,0
"140",140,0
"144",144,0
"145",145,0
"146",146,0
"147",147,0
"149",149,0
"150",150,0
"151",151,0
"153",153,0
"154",154,0
"155",155,0
"156",156,0
"158",158,0
"159",159,0
"160",160,0
"161",161,0
"163",163,0
"164",164,0
"165",165,0
"166",166,1
"169",169,0
"170",170,0
"171",171,0
"172",172,0
"174",174,0
"175",175,0
"176",176,0
"177",177,0
"179",179,0
"180",180,0
"182",182,0
"183",183,0
"184",184,1
"186",186,0
"188",188,0
"189",189,0
"190",190,0
"192",192,0
"194",194,1
"197",197,0
"198",198,0
"201",201,0
"202",202,0
"203",203,0
"204",204,0
"205",205,0
"207",207,0
"208",208,0
"210",210,0
"211",211,0
"213",213,0
"214",214,0
"215",215,0
"218",218,0
"220",220,0
"221",221,0
"222",222,0
"223",223,0
"224",224,0
"225",225,0
"226",226,0
"227",227,0
"228",228,0
"229",229,0
"232",232,0
"233",233,0
"235",235,0
"237",237,0
"239",239,0
"240",240,0
"243",243,0
"244",244,0
"245",245,0
"246",246,0
"249",249,0
"250",250,0
"251",251,0
"253",253,0
"254",254,0
"261",261,0
"262",262,1
"263",263,0
"264",264,0
"266",266,0
"267",267,0
"268",268,0
"271",271,0
"272",272,0
"274",274,0
"278",278,0
"279",279,0
"281",281,0
"282",282,0
"283",283,0
"284",284,0
"285",285,0
"286",286,0
"287",287,0
"288",288,0
"289",289,0
"293",293,0
"295",295,0
"296",296,0
"297",297,0
"299",299,0
"302",302,0
"303",303,0
"305",305,0
"306",306,1
"309",309,0
"314",314,0
"315",315,0
"318",318,0
"321",321,0
"322",322,0
"325",325,0
"327",327,0
"332",332,0
"333",333,0
"334",334,0
"336",336,0
"337",337,0
"339",339,0
"340",340,0
"341",341,1
"343",343,0
"344",344,0
"345",345,0
"349",349,1
"350",350,0
"351",351,0
"352",352,0
"353",353,0
"354",354,0
"355",355,0
"356",356,0
"361",361,0
"362",362,0
"364",364,0
"365",365,0
"366",366,0
"371",371,1
"372",372,0
"373",373,0
"374",374,0
"378",378,0
"379",379,0
"380",380,0
"383",383,0
"385",385,0
"386",386,0
"387",387,0
"389",389,0
"391",391,1
"392",392,0
"393",393,0
"396",396,0
"398",398,0
"399",399,0
"401",401,0
"402",402,0
"404",404,0
"406",406,0
"407",407,0
"408",408,1
"409",409,0
"411",411,0
"412",412,0
"414",414,0
"415",415,0
"419",419,0
"421",421,0
"422",422,0
"423",423,0
"425",425,0
"426",426,0
"429",429,0
"430",430,0
"431",431,1
"434",434,0
"435",435,0
"439",439,0
"440",440,0
"442",442,0
"443",443,0
"445",445,0
"446",446,1
"448",448,1
"450",450,0
"451",451,0
"452",452,0
"453",453,0
"454",454,0
"455",455,0
"456",456,0
"457",457,0
"460",460,0
"461",461,1
"462",462,0
"463",463,0
"464",464,0
"465",465,0
"466",466,0
"467",467,0
"468",468,0
"469",469,0
"471",471,0
"472",472,0
"476",476,0
"477",477,0
"478",478,0
"479",479,0
"481",481,0
"482",482,0
"483",483,0
"485",485,1
"488",488,0
"489",489,0
"490",490,1
"491",491,0
"492",492,0
"493",493,0
"494",494,0
"495",495,0
"496",496,0
"498",498,0
"500",500,0
"501",501,0
"506",506,0
"508",508,0
"509",509,0
"510",510,1
"511",511,0
"512",512,0
"513",513,1
"515",515,0
"516",516,0
"518",518,0
"520",520,0
"522",522,0
"523",523,0
"525",525,0
"526",526,0
"528",528,0
"529",529,0
"530",530,0
"532",532,0
"533",533,0
"537",537,0
"539",539,0
"544",544,0
"545",545,0
"546",546,0
"548",548,0
"549",549,0
"550",550,1
"551",551,1
"552",552,0
"553",553,0
"554",554,0
"556",556,0
"558",558,0
"561",561,0
"562",562,0
"563",563,0
"564",564,0
"566",566,0
"567",567,0
"569",569,0
"570",570,0
"571",571,0
"573",573,1
"575",575,0
"576",576,0
"580",580,0
"583",583,0
"584",584,0
"585",585,0
"587",587,0
"588",588,0
"589",589,0
"590",590,0
"591",591,0
"593",593,0
"595",595,0
"596",596,0
"598",598,0
"599",599,0
"600",600,0
"602",602,0
"603",603,0
"604",604,0
"605",605,1
"606",606,0
"607",607,0
"608",608,1
"612",612,0
"614",614,0
"615",615,0
"617",617,0
"620",620,0
"621",621,0
"622",622,0
"623",623,0
"624",624,0
"625",625,0
"626",626,0
"627",627,0
"629",629,0
"630",630,0
"631",631,0
"632",632,0
"633",633,1
"634",634,0
"637",637,0
"638",638,0
"640",640,0
"641",641,0
"644",644,0
"646",646,0
"647",647,0
"648",648,0
"649",649,0
"651",651,0
"653",653,0
"656",656,0
"657",657,0
"659",659,0
"660",660,0
"661",661,0
"662",662,0
"663",663,0
"664",664,0
"665",665,0
"666",666,0
"667",667,0
"668",668,0
"669",669,0
"672",672,0
"673",673,0
"674",674,0
"675",675,0
"676",676,0
"677",677,0
"680",680,1
"682",682,1
"683",683,0
"684",684,0
"685",685,0
"686",686,0
"687",687,0
"688",688,0
"689",689,0
"691",691,1
"693",693,0
"694",694,0
"695",695,0
"696",696,0
"697",697,0
"699",699,0
"700",700,0
"702",702,1
"704",704,0
"705",705,0
"706",706,0
"708",708,1
"710",710,0
"712",712,0
"713",713,0
"714",714,0
"715",715,0
"716",716,0
"719",719,0
"720",720,0
"722",722,0
"723",723,0
"724",724,0
"725",725,1
"726",726,0
"729",729,0
"732",732,0
"733",733,0
"734",734,0
"735",735,0
"736",736,0
"738",738,1
"739",739,0
"740",740,0
"741",741,0
"742",742,0
"744",744,0
"745",745,0
"746",746,0
"747",747,0
"749",749,0
"750",750,0
"752",752,1
"753",753,0
"754",754,0
"756",756,1
"757",757,0
"758",758,0
"759",759,0
"761",761,0
"762",762,0
"763",763,0
"765",765,0
"767",767,0
"769",769,0
"770",770,0
"771",771,0
"772",772,0
"774",774,0
"776",776,0
"777",777,0
"779",779,0
"783",783,0
"784",784,0
"785",785,0
"786",786,0
"788",788,0
"789",789,1
"790",790,0
"791",791,0
"792",792,0
"794",794,0
"795",795,0
"796",796,0
"799",799,0
"801",801,0
"803",803,1
"804",804,1
"805",805,0
